Ethnicity_Group,Occupation,Population_Estimate,Percentage_within_Ethnicity,Percentage_within_Occupation
Mixed/multiple ethnic group: White and Asian,2134 Programmers and software development professionals,2475.0,1.6,0.9
Mixed/multiple ethnic group: White and Asian,2135 Cyber security professionals,170.0,0.1,0.8
Mixed/multiple ethnic group: White and Asian,2136 IT quality and testing professionals,115.0,0.1,0.7
Mixed/multiple ethnic group: White and Asian,2137 IT network professionals,95.0,0.1,0.6
Mixed/multiple ethnic group: White and Asian,2139 Information technology professionals n.e.c.,620.0,0.4,0.8
Mixed/multiple ethnic group: White and Black African,1137 Information technology directors,220.0,0.3,0.2
Mixed/multiple ethnic group: White and Black African,2131 IT project managers,80.0,0.1,0.2
Mixed/multiple ethnic group: White and Black African,2132 IT managers,320.0,0.4,0.2
Mixed/multiple ethnic group: White and Black African,"2133 IT business analysts, architects and systems designers",275.0,0.4,0.2
Mixed/multiple ethnic group: White and Black African,2134 Programmers and software development professionals,825.0,1.1,0.3
Mixed/multiple ethnic group: White and Black African,2135 Cyber security professionals,60.0,0.1,0.3
Mixed/multiple ethnic group: White and Black African,2136 IT quality and testing professionals,30.0,0,0.2
Mixed/multiple ethnic group: White and Black African,2137 IT network professionals,45.0,0.1,0.3
Mixed/multiple ethnic group: White and Black African,2139 Information technology professionals n.e.c.,240.0,0.3,0.3
Mixed/multiple ethnic group: White and Black Caribbean,1137 Information technology directors,350.0,0.2,0.3
Mixed/multiple ethnic group: White and Black Caribbean,2131 IT project managers,155.0,0.1,0.4
Mixed/multiple ethnic group: White and Black Caribbean,2132 IT managers,605.0,0.3,0.4
Mixed/multiple ethnic group: White and Black Caribbean,"2133 IT business analysts, architects and systems designers",445.0,0.3,0.4
Mixed/multiple ethnic group: White and Black Caribbean,2134 Programmers and software development professionals,1290.0,0.7,0.5
Mixed/multiple ethnic group: White and Black Caribbean,2135 Cyber security professionals,110.0,0.1,0.5
Mixed/multiple ethnic group: White and Black Caribbean,2136 IT quality and testing professionals,75.0,0,0.4
Mixed/multiple ethnic group: White and Black Caribbean,2137 IT network professionals,95.0,0.1,0.6
Mixed/multiple ethnic group: White and Black Caribbean,2139 Information technology professionals n.e.c.,335.0,0.2,0.4
Mixed/multiple ethnic group: Other Mixed,1137 Information technology directors,715.0,0.4,0.6
Mixed/multiple ethnic group: Other Mixed,2131 IT project managers,295.0,0.2,0.8
Mixed/multiple ethnic group: Other Mixed,2132 IT managers,1055.0,0.6,0.7
Mixed/multiple ethnic group: Other Mixed,"2133 IT business analysts, architects and systems designers",835.0,0.5,0.8
Mixed/multiple ethnic group: Other Mixed,2134 Programmers and software development professionals,2410.0,1.4,0.9
Mixed/multiple ethnic group: Other Mixed,2135 Cyber security professionals,175.0,0.1,0.8
Mixed/multiple ethnic group: Other Mixed,2136 IT quality and testing professionals,110.0,0.1,0.6
Mixed/multiple ethnic group: Other Mixed,2137 IT network professionals,130.0,0.1,0.8
Mixed/multiple ethnic group: Other Mixed,2139 Information technology professionals n.e.c.,665.0,0.4,0.8
